text,class
What time should I wake up tomorrow?,0
What kind of coffee should I drink tomorrow morning?,0
What should I have for breakfast tomorrow?,0
What should I wear tomorrow evening?,0
What plans do I have for tomorrow morning?,0
What plans do I have for tomorrow afternoon?,0
What should I have for lunch tomorrow?,0
What work do I have to do tomorrow?,0
What should I have for dinner tomorrow?,0
What chores do I need to do tomorrow?,0
What do I have planned next week?,0
When should I go for a bike ride?,0
When should I go for a walk?,0
When should I go to the Post Office?,0
When should I look at the bills?,0
When should I call my mother?,0
When should I do my work?,0
When should I put my feet up?,0
When should I have a lie down?,0
When should I make a cup of tea?,0
When should I read my book?,0
When should I put the chicken in the oven?,0
Should I book a holiday?,0
Should I go for a run around the park?,0
Should I feed the cat tomorrow morning?,0
Should I go to the supermarket?,0
Should I get on the bus?,0
Should I take this job?,0
Should I rearrange the furniture?,0
Should I cancel my phone contract?,0
Should I change my name?,0
Should I buy more plants?,0
Should I visit my brother on Tuesday?,0
When is my partner's birthday?,0
When is my mother's birthday?,0
When is my parents' wedding anniversary?,0
When is my niece's graduation day?,0
When is my nephew's interview?,0
When is my friend's baby due?,0
When are the flowers arriving?,0
When will it be time to take the chicken out of the oven?,0
When are my friends coming round?,0
When does my car insurance need renewing?,0
When is my next meeting?,0
Do I have any appointments today?,0
Do I have any assignments due tomorrow?,0
Do I have time on Friday to mow the lawn?,0
Do I have any parties coming up?,0
Do I need to walk the dog this evening?,0
Do I need to go shopping today?,0
What time is dinner on Saturday?,0
What time should I call my friend?,0
What time does the flight depart on Monday?,0
What time does the performance start?,0
What time is the family arriving on Sunday?,0
What date is my book to be released?,0
What date does my new album come out?,0
What date is the final match of the tournament?,0
What date will the cheese be ready?,0
What date is my next exam?,0
How many bookings do I have for March?,0
How many tables are arriving today?,0
How many bread rolls should I buy?,0
How many of the boxes need moving today?,0
How many of the teapots need lids?,0
How often should I water my sage plant?,0
How often do I need to walk the dog?,0
How often should I fly my kite?,0
How often should I bake cakes?,0
How often should we hold meetings?,0
Which kind of cat food should I buy?,0
Which jacket should I wear today?,0
Which concert should I book tickets for?,0
Which restaurant should I go to on Thursday?,0
Which pairs of socks should I throw away?,0
What day does my sister's birthday fall on this year?,0
On which days is it forecast to rain next week?,0
Do I need to get balloons for the party?,0
On what day should I bake the cake?,0
How many times should I turn the meat?,0
Which plants need repotting next week?,0
Which kind of armchair should I buy?,0
What kind of sandwich should I make for my uncle?,0
What type of bread should I make today?,0
Which internet company should I choose?,0
How many kinds of tea should I own?,0
What should I do with the vegetable scraps?,0
Where should I dig the pond?,0
When is the next lunar eclipse?,0
When will my registration be complete?,0
When should I get out of the box?,0
When should I leave the area?,0
When will my ship come in?,0
When is the unveiling planned for?,0
When should I go to sleep?,0
How often should I write to my aunt?,0
How often should I feed my avocado plant?,0
How often should I brush my teeth?,0
How often should I make the bed?,0
How often should I clean the windows?,0
When am I next on the radio?,0
How many TV appearances do I have scheduled next month?,0
How many glasses of water should I drink per day?,0
How many times should I clap to switch on the light?,0
What time does the shop open?,0
Which room in the hotel should I choose?,0
Which part of the island should I visit next?,0
Which card game should I teach to my neice?,0
Which part of the garden should I use to grow vegetables?,0
Which piece of pie should I give to my dog?,0
At what time does it get dark tonight?,0
What date is the anniversary of the battle?,0
How much salt should I put in the water?,0
How many potatoes do I need for the recipe?,0
Which type of basil should I use for the pesto?,0
When is the awards ceremony?,0
What is my great-grandfather's birth date?,0
What style of shorts should I buy for the trip?,0
Where should I go for a picnic?,0
What kind of tree should I plant?,0
Where should I hold the meeting?,0
When should I turn off the light?,0
What day next week is my archery lesson?,0
How many driving lessons should I book?,0
What should I do if I pass the exam?,0
How many hens should I purchase?,0
How many photographs should I put on the walls?,0
How many bottles of wine should I buy for Saturday?,0
How many countries should I visit next year?,0
How many clothes should I buy next month?,0
Should I get up early or stay in bed late on Monday?,0
Should I go to bed early or stay up late on Friday?,0
Should I go to my cousin's wedding next week?,0
Should I make pancakes tomorrow evening?,0
Should I plan a surprise party for my partner?,0
How should I celebrate my dog's birthday?,0
How many cans of lemonade should I drink today?,0
How often should I renew my club membership?,0
Should I use a new profile picture for the account?,0
Which colour nail polish should I wear tomorrow?,0
Should I put a fig tree or an olive tree in the garden?,0
When should I clean the balcony?,0
What date do I need to submit the assignment?,0
When is the annual boat race?,0
When should I plant the seeds?,0
When do I need to pay?,0
When are the results due?,0
When is the test booked for?,0
Which testing centre should I go to?,0
When should I sell the house?,0
When should I visit my family?,0
Which flight should I book?,0
Which book should I read next?,0
When do I have free time to wash the car?,0
Where can I get the right kind of paint?,0
What should I do when the seeds sprout?,0
Which costume should I wear to the fancy dress ball?,0
How many times should I shake the jar?,0
Which laptop should I buy?,0
How many cups of coffee should I drink per day?,0
Which part of the house should I clean next?,0
Which piece of the puzzle should I insert next?,0
Which painting should I display in the hallway?,0
When should I book an eye test?,0
When should I visit the doctor?,0
Which type of shampoo should I use?,0
How short should I cut my hair?,0
Should I remove the bath from the bathroom?,0
Do I need to have the cat examined by the vet?,0
Which part of the chicken should I use for the stock?,0
How many times do I need to repeat the action?,0
How many questions must I answer to complete the test?,0
What date is grandma's appointment?,0
What date is father coming to visit?,0
What date is the move booked for?,0
Which neighbours dog should I take for a walk on Wednesday?,0
To whom should I give the donation?,0
How should I deal with the burn on my hand?,0
Which type of fertiliser should I use for the plants?,0
How many times this week do I need to put the bin out?,0
Which sushi place should I go to for lunch today?,0
What time should I start work on Tuesday?,0
Which kind of nuts should I use for the topping?,0
What is my mother's favourite flavour of ice cream?,0
When should I pump up the tyres?,0
Will I need to bring my calculator to the meeting?,0
Where are the blueprints for the prototype?,0
When will I be able to grow cucumbers?,0
How high should I put the bunting?,0
How often does the phenomenon occur?,0
Which glasses should I use for the wine?,0
What cutlery do I need on the table?,0
How often should I refill the glasses?,0
What do I have planned for Sunday morning?,0
When will the items be available to buy online?,0
How can I get rid of the wasps?,0
What time should I make a cocktail?,0
What are my plans for July?,0
When is the family reunion?,0
How often should I use the treatment on the plants?,0

